KECAMATAN,Sapi potong,Kerbau,Kambing
WALED,204,487,1049
PASALEMAN,152,2,668
CILEDUG,212,113,154
PABUARAN,191,123,109
LOSARI,57,236,1600
PABEDILAN,410,0,1222
BABAKAN,1116,483,241
GEBANG,332,161,3067
KARANGSEMBUNG,74,0,65
KARANGWARENG,239,51,155
LEMAHABANG,87,74,113
SUSUKAN LEBAK,154,10,93
SEDONG,233,61,662
ASTANAJAPURA,10,58,107
PANGENAN,24,0,414
MUNDU,155,202,80
BEBER,330,120,565
GREGED,75,93,497
TALUN,592,26,71
SUMBER,154,66,1000
DUKUPUNTANG,113,200,959
PALIMANAN,159,21,278
PLUMBON,89,0,0
DEPOK,54,23,164
WERU,225,126,157
PLERED,221,348,135
TENGAHTANI,296,54,25
KEDAWUNG,59,11,0
GUNUNGJATI,216,83,0
KAPETAKAN,15,102,97
SURANENGGALA,16,0,7
KLANGENAN,61,75,127
JAMBLANG,79,11,15
ARJAWINANGUN,117,180,158
PANGURAGAN,22,43,34
CIWARINGIN,79,64,172
GEMPOL,217,56,121
SUSUKAN,62,27,66
GEGESIK,109,10,96
KALIWEDI,177,8,150
